FB1	FB2	L1	L2
AT1G01010.1	251	223	184	272
AT1G01020.1.Hnull	431	317	338	328
AT1G01030.1	187	316	30	59
AT1G01040.2	1029	2121	2672	3033
AT1G01046.1	18	17	45	46
AT1G01050.1	3861	2776	3426	2984
AT1G01060.1	11634	716	11963	999
AT1G01070.1	459	208	531	247
AT1G01073.1	0	0	0	0
AT1G01080.2	2532	1652	1921	1554
AT1G01090.1.Hnull	5325	6625	4555	7637
AT1G01100.1	18123	9686	2250	1846
AT1G01110.2	320	821	92	92
AT1G01115.1	0	0	0	0
AT1G01120.1	3083	2183	4142	1533
AT1G01130.1.Hnull	34	72	16	36
AT1G01140.3	2959	2501	7798	5736
AT1G01150.1	116	69	2	2
AT1G01160.2	1513	1418	861	1174
AT1G01170.1	1755	1488	1551	1472
AT1G01180.1	53	88	568	538
AT1G01183.1	0	2	0	0
AT1G01190.1	7	18	3	4
AT1G01200.1.Hnull	53	31	14	39
AT1G01210.1	527	381	279	256
AT1G01220.1	977	1115	1308	1095
AT1G01225.1	315	198	75	38
AT1G01230.1	1172	727	1008	1043
AT1G01240.1	734	760	1301	1789
AT1G01250.1	1211	606	356	221
AT1G01260.1	1208	1051	919	1266
AT1G01270.1	0	0	0	0
AT1G01280.1	2160	1827	1	4
AT1G01290.1	664	529	549	615
AT1G01300.1	4787	8413	1264	1355
AT1G01305.1	5	2	0	0
AT1G01310.1	908	718	7	4
AT1G01320.1	4937	13280	22778	28289
AT1G01340.2	79	88	486	392
AT1G01350.1	981	842	573	587
AT1G01355.1	24	20	7	16
AT1G01360.1	814	903	1785	2154
AT1G01370.1	622	356	18	4
AT1G01380.1	31	11	53	45
AT1G01390.1	62	65	794	883
AT1G01400.1	81	36	1	3
AT1G01410.1.Hnull	0	0	0	0
AT1G01420.1	30	42	646	1037
AT1G01430.1	817	899	1632	778
AT1G01440.1	367	572	976	1151
AT1G01448.1	176	327	283	442
AT1G01450.1	6	16	15	17
AT1G01453.2	0	1	2	0
AT1G01460.1.Hnull	3	1	0	1
AT1G01470.1	384	416	3189	3397
AT1G01471.1	0	0	0	0
AT1G01480.1	15	16	7	27
AT1G01490.1	1822	1241	3310	2948
AT1G01500.1	657	843	657	1173
AT1G01510.1	818	2223	890	900
AT1G01520.1	129	122	825	408
AT1G01530.1	1	3	6	4
AT1G01540.2	3147	2021	3376	1815
AT1G01550.1	5245	4279	8463	11104
AT1G01560.2	87	93	270	156
AT1G01570.1	286	303	64	82
AT1G01580.1	204	424	199	389
AT1G01590.1	362	509	131	227
AT1G01600.1	5459	5795	191	84
AT1G01610.1	1260	5804	2038	1969
AT1G01620.1	19845	14506	7483	2017
AT1G01630.1	2774	2231	2010	1722
AT1G01640.1	117	128	89	174
AT1G01650.1	1324	2527	2204	2733
AT1G01660.1	71	77	59	64
AT1G01670.1	102	121	122	152
AT1G01680.1	10	6	133	86
AT1G01690.1.Hnull	89	76	182	76
AT1G01695.1	29	48	11	12
AT1G01700.1	190	143	130	173
AT1G01710.1	1577	1888	1735	1682
AT1G01720.1	1406	1749	1430	2109
AT1G01725.1	395	325	511	545
AT1G01730.1	783	868	874	1211
AT1G01740.1	207	185	300	534
AT1G01750.1	68	54	18	25
AT1G01760.1	116	105	100	87
AT1G01770.1	300	724	530	868
AT1G01780.1	979	996	207	321
AT1G01790.1	4071	4146	14631	9326
AT1G01800.1.Hnull	3035	1466	2851	1471
AT1G01810.1	64	31	10	15
AT1G01820.1	1854	1581	1782	3379
AT1G01830.2	1735	1940	2948	3360
AT1G01840.1	97	48	23	26
AT1G01860.1	441	345	446	437
AT1G01870.1	0	0	0	0
AT1G01880.1	340	317	34	84
AT1G01890.1	0	0	0	0
AT1G01900.1	407	1069	309	83
AT1G01910.1	2280	1677	1344	1426
AT1G01920.1	1038	1075	219	270
AT1G01930.1	606	636	397	582
AT1G01940.1	751	360	235	375
AT1G01950.3	1233	1110	1082	798
AT1G01960.1	2868	5811	3407	5590
AT1G01970.1	1051	741	1530	1185
AT1G01980.1	285	1093	7	6
AT1G01990.1	705	719	558	820
AT1G02000.1	379	1429	455	433
AT1G02010.1	927	977	679	462
AT1G02020.1	128	649	764	957
AT1G02030.1	75	34	8	21
