logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01030.1	-2.24230547387484	1.48215944213267	-5.26828836432694	0.00189668766182258	0.00819300159109952	0.425623147179664
AT1G01040.2	1.23461217753007	5.81390327485301	3.68847657481978	0.0102596807169314	0.0300259139399248	0.334721436475545
AT1G01110.2	-2.29097173962072	2.57883360636243	-4.73567128219263	0.00322087538725552	0.01216030737824	0.483769164518528
AT1G01130.1	-2.4603818219619	0.753191608629245	-5.67081934930072	0.00130197733730575	0.00618299936646341	0.433867078178975
AT1G01140.3	1.56675904215568	6.87023141826131	5.4551223057242	0.0015888821182845	0.00716679468290171	0.287208783662218
AT1G01180.1	3.26183879462482	2.41979145069222	7.76030093613998	0.000242883440886523	0.00188352934485919	0.420323750517758
AT1G01225.1	-1.90484941516965	1.67148921624844	-4.79911853130406	0.00301793939591341	0.0115461216110724	0.396916517636426
AT1G01240.1	1.30522636015624	4.87224943398739	5.12537370497293	0.00217827185958205	0.00911369964878339	0.254659744886472
AT1G01250.1	-1.33793847619387	3.75053446810476	-4.87487039660197	0.00279434553895052	0.0109012222255855	0.274456214697827
AT1G01280.1	-9.30609606652054	0.978491725360322	-16.2371938705472	3.527405175792e-06	0.000246474594150458	0.573134504688088
AT1G01300.1	-1.99312754900157	6.30469551311296	-6.10439496782342	0.000886759869777209	0.00465714054660317	0.326506977269238
AT1G01320.1	2.00187072060887	8.61905631324058	4.82905815414468	0.00292723139397202	0.0112960818901076	0.414546823978647
AT1G01340.2	2.66424798527925	2.39240188419393	7.03461610166791	0.000415528771521428	0.00273741103973818	0.378733956021787
AT1G01360.1	1.46828660961693	5.15266891848371	5.82421375885397	0.00113381289170851	0.00558901372692031	0.252100398510416
AT1G01370.1	-5.31823661728216	0.84633521332972	-10.1035191359929	5.52256526885589e-05	0.000715819069955403	0.526374676555658
AT1G01390.1	3.98573358882776	2.66661780323699	11.0556087533824	3.29876616868632e-05	0.000528808631246714	0.360516881316765
AT1G01400.1	-4.30308614114255	-1.70571391781546	-5.96906919563684	0.000997444279468423	0.00507720490267642	0.720897345986196
AT1G01420.1	4.78190701260786	2.23545116187019	12.1443249412821	1.91950895031957e-05	0.000410935388785456	0.393756510611204
AT1G01460.1	-7.31086353317488	-0.954210333721585	-9.09944994362414	9.99515165711742e-05	0.00105070973552715	0.803440161599823
AT1G01490.1	1.33030541609427	5.89361118301553	5.19388848273856	0.00203774532382158	0.00864581686309013	0.256128990931442
AT1G01520.1	2.53413514324108	2.89075927314909	6.47000685966183	0.000651629674120501	0.00372941292575441	0.391674259117173
AT1G01550.1	1.3056134321048	7.53806520119169	4.33268802668924	0.00493459593559933	0.0169324204118985	0.301340282074836
AT1G01560.2	1.49851764074005	1.90347084883192	3.46505490993167	0.0134224391917962	0.0370969697546612	0.432465770295572
AT1G01570.1	-1.73932545711653	2.00794192438249	-4.57735859399965	0.00379804033313876	0.013815708908052	0.379984530684699
AT1G01600.1	-5.17273617004321	4.53590618599427	-11.5461205582727	2.56959802856933e-05	0.000469580521707629	0.44800642293112
AT1G01620.1	-1.96682687192303	7.79876518912354	-4.15746019662523	0.00598436058397099	0.0197051794105237	0.473083752796859
AT1G01690.1	-1.76683374469924	2.8474956932528	-4.32463696198951	0.00497802454413759	0.0170462990304482	0.408550766278985
AT1G01740.1	1.32577940119236	2.94294610353376	3.72731767320441	0.00979913528674721	0.0289367132196169	0.355692623336977
AT1G01780.1	-1.65012186386968	3.79213608087929	-5.52454523258286	0.00148932989097006	0.00683230942632887	0.29868917610404
AT1G01790.1	1.76913529582124	7.56980184417518	5.0678596990012	0.00230477322914026	0.00946843695574818	0.349089241000478
AT1G01830.2	1.05454930155176	6.04246205693508	4.10940954551265	0.00631445604150541	0.0205616147657367	0.256618205090631
AT1G01880.1	-2.27175566784887	1.86945046389506	-4.89802673359906	0.00272978550698263	0.0106995217246468	0.463810385571249
AT1G01920.1	-1.84146127256098	3.79872835411954	-6.37000784761512	0.000707952989804685	0.00394705900575012	0.28908304614576
AT1G01970.1	0.885156098520892	4.90246937176092	3.54768653972282	0.0121417629139058	0.0343171886857725	0.249502341486474
AT1G02040.1	-8.56154065668941	-0.969664172094232	-16.0263222598059	3.80879805124457e-06	0.000247146985672514	0.534217427922425
AT1G02050.1	-5.18785476000855	4.68841662998623	-13.66671916873	9.66893601491135e-06	0.000320209566606445	0.379597670513239
AT1G02065.1	-7.082984255209	0.828709089972135	-9.55362280117487	7.59023072036794e-05	0.000877883609838376	0.741392496084099
AT1G02070.1	-2.0341218532036	0.946077822298179	-4.06156360011857	0.00666354009233628	0.0214086456175527	0.500822356479711
AT1G02180.1	-2.33864924229664	2.57160747493093	-6.5438730415447	0.000613316721072857	0.0035767556749516	0.357379983910047
AT1G02205.3	-3.63244821937843	7.555552217367	-7.30340168346385	0.000338844736200438	0.00238901685876017	0.497363882860628
AT1G02270.1	1.3310675082021	4.73722264787978	4.9438161401628	0.00260703722751277	0.0103648410792874	0.26923887751179
AT1G02280.1	-1.23834540719756	5.52317983715183	-4.78489715193349	0.00306213721320803	0.0116790392775668	0.258802930946419
AT1G02300.1	0.988284749272121	4.35458986519893	3.45259395130317	0.0136281956418736	0.0375357942292861	0.286244129257973
AT1G02340.1	1.90084831753254	5.84647968242776	5.14428674982904	0.00213840996560407	0.00898267101008952	0.36950667992909
AT1G02360.1	4.7336978969832	-1.56315973136612	6.07336200548347	0.000910844026520247	0.00474762581375142	0.779419684304884
AT1G02470.2	-1.14119356821116	3.67340035155317	-4.00980410841464	0.00706569862012867	0.022390966879018	0.284600827710348
AT1G02475.1	1.8756768578903	5.82812740333515	7.34726456639876	0.000327942191006355	0.00233772923738791	0.255289140732502
AT1G02510.1	-7.86376687335078	-2.11876917860671	-14.7985980698734	6.07610238843728e-06	0.000273959523942768	0.531385935087975
AT1G02520.1	-5.43557477915732	1.75130102684573	-12.6595047731504	1.50893783017204e-05	0.000381030647532951	0.429367094255193
AT1G02530.1	-4.01031821423936	-0.468770202118951	-7.18141534466621	0.000371427873265812	0.00253811164577877	0.558430061731204
AT1G02560.1	1.18580077028624	7.99222191255967	3.84160997290327	0.00857198207695169	0.0260683267364545	0.308672868576005
AT1G02610.1	2.23220866444975	2.20145784816839	6.26876858379183	0.000770734601349082	0.00419816005654392	0.356084075303277
AT1G02630.1	-1.60892551306924	1.4241634854572	-3.87590076064263	0.00823792808904488	0.0252911736321215	0.415110089867852
AT1G02640.1	-3.31539755326605	3.87081994334575	-6.10916298356122	0.000883124465125486	0.00464508544749709	0.542692601619446
AT1G02660.1	-1.99906221108082	3.94780151744918	-5.16006991620858	0.0021057782547268	0.00887332928318944	0.387409907916451
AT1G02690.2	-3.53206738999162	3.49581323067019	-10.007683435601	5.83064893646561e-05	0.00074179224112716	0.352935563232021
AT1G02750.1	0.922919454996864	3.59088997223106	3.33393053573842	0.0157714550925572	0.0422051237967226	0.276826240110144
AT1G02770.1	-3.09099326924241	0.199784470934384	-5.0940497420413	0.0022461621238636	0.00930419789756358	0.606785058208675
AT1G02780.1	-1.2557090570793	8.79542512672584	-3.64246750088791	0.0108365690866896	0.0313195819617332	0.344741320759402
AT1G02790.1	-8.47464636011163	5.18982395461048	-20.3609849388496	9.29001292980654e-07	0.000242872300065502	0.41621986291742
AT1G02810.1	-4.4982807958422	0.529152875195654	-7.81921963291776	0.000232955892195499	0.00183992027812319	0.575285131639622
AT1G02813.1	-9.6131795426204	0.951359322407813	-19.657601668983	1.14362401686103e-06	0.000242872300065502	0.489031149602989
AT1G02820.1	3.1497520905508	3.6472727295201	8.9037146384872	0.000112963923108946	0.00113812760004838	0.353757079874918
AT1G02870.1	-1.30016630282192	3.50935636617183	-4.20337011198189	0.00568694462719103	0.0189371416915198	0.309315208555092
AT1G02880.3	0.910613026915149	4.798439495771	3.38697857833166	0.0147706190818843	0.0400527213605154	0.268857037579404
AT1G02890.1	1.24249368873377	6.69693209446485	4.27936403475959	0.00523037891689483	0.0176808648219812	0.290345406149485
AT1G02900.1	-4.6960521628768	0.434253274849679	-9.89046810915729	6.23491768978014e-05	0.000775443623509767	0.474805854591338
AT1G02920.1	7.63771360908316	2.77306498630789	10.5344319040937	4.35085432151258e-05	0.000618974104116042	0.72502377713554
AT1G02970.1	-4.88311069380807	-0.0520293429881471	-8.90277905283028	0.000113030662986057	0.00113812760004838	0.548492854290894
AT1G02980.1	-5.31451578703375	-0.826391155988828	-9.79218048654698	6.59908267340444e-05	0.000805685069184476	0.542730579193788
