baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01030.1	137.021144929859	-2.14651738234771	0.51211383599192	-4.19148484475154	2.77134703429689e-05	0.000170480017939071	1e-08
AT1G01100.1	7203.1579014036	-2.34490550340926	0.374636068695857	-6.25915574966418	3.87067154223921e-10	4.84546229733366e-09	0.0250253659824991
AT1G01110.2	308.03071839695	-2.13135850468527	0.492349021101285	-4.32895855041582	1.49816124536274e-05	9.64793703403655e-05	0.230620200937633
AT1G01130.1	90.2302933688215	-2.36174611998376	0.578711847375872	-4.0810398658554	4.4834663536234e-05	0.000265551837054386	1e-08
AT1G01140.3	4972.6993737614	1.61559716771889	0.372451733400802	4.33773566568509	1.43958141801894e-05	9.2964494859843e-05	0.0148798653656726
AT1G01150.1	41.5313077653472	-4.78619530233449	0.912993352421695	-5.24231122783009	1.58577595494537e-07	1.41080947876814e-06	0.0505919748843582
AT1G01180.1	339.229321068247	3.27944575006537	0.460174887553552	7.12652045725492	1.02937945406726e-12	1.70793708229566e-11	0.0973161020364753
AT1G01225.1	143.750954912298	-1.83782921973282	0.506921426925751	-3.62547156642878	0.000288434632898811	0.00147096916185422	0.0177640751412375
AT1G01240.1	1188.377442674	1.34989953760999	0.383979599680738	3.51555014571704	0.000438843876119643	0.0021548934064882	0.00674773649996315
AT1G01250.1	556.512855047783	-1.26326276809425	0.403405095322972	-3.13149928630144	0.00173916208776185	0.00744542897770773	0.00171669790660786
AT1G01280.1	878.95948327236	-8.9142842461165	0.706170423027647	-12.6234177408581	1.56862696594543e-36	1.77127832822607e-34	0.3180735749004
AT1G01300.1	3678.92241894975	-1.92737218031887	0.396097216825792	-4.86590689973606	1.13933144418357e-06	8.89367291064203e-06	0.0852299509732886
AT1G01340.2	281.492360281216	2.6779332544616	0.453685012670856	5.90262666755627	3.57759239828523e-09	4.01378236446393e-08	0.0395478625802737
AT1G01360.1	1474.76470096194	1.51022776239519	0.378160393114149	3.99361696754773	6.5072954638425e-05	0.000375067116722528	1e-08
AT1G01370.1	219.666375111418	-5.10929771107975	0.576648365096982	-8.86033503315397	7.97743285891364e-19	2.34703143320633e-17	0.20992391301975
AT1G01390.1	494.311034049355	3.99856774635916	0.42218166286493	9.47120184999231	2.76642138873777e-21	9.80409897754575e-20	0.000390693993705462
AT1G01400.1	26.5226911223068	-4.05846242957044	1.01700545545793	-3.99060045134472	6.59062277761365e-05	0.000379270804669306	0.443913606513643
AT1G01420.1	483.014838922591	4.78778531047453	0.438133494998204	10.9276861165206	8.4987918228454e-28	5.05415357635354e-26	4.7148663634574e-05
AT1G01460.1	119.632874938784	-6.648061376549	0.902853186234729	-7.36339138844286	1.79295685438987e-13	3.21590737143331e-12	1.24822586218043
AT1G01470.1	2008.44549898445	3.33770605708835	0.377681507351339	8.83735632304454	9.80101622526183e-19	2.86541030963079e-17	0.00316972478568906
AT1G01520.1	399.610331857689	2.51483646311985	0.453843262222164	5.54120039329524	3.00405201051068e-08	2.9827701895747e-07	0.12667848985126
AT1G01550.1	7529.78241187288	1.35239228171158	0.376661645726697	3.5904698475535	0.000330082415268845	0.00166299289094352	0.032821966602501
AT1G01560.2	158.661925996515	1.50195662633502	0.511265154057431	2.93772539437784	0.00330629737740039	0.0132076683118124	0.113484591852416
AT1G01570.1	170.836849789487	-1.65710394862017	0.481012283419937	-3.44503457757538	0.000570986345103188	0.00273631961362079	1e-08
AT1G01620.1	10196.3082036937	-1.72521265282358	0.441012098930907	-3.91193950688838	9.15578486111787e-05	0.00051134160104413	0.25788907706828
AT1G01680.1	64.5559835460885	3.96129484508361	0.686125418071047	5.773426753698	7.76753803842419e-09	8.37434879898295e-08	1e-08
AT1G01790.1	8495.89466771618	1.82280364426206	0.390822687844932	4.66401695948957	3.10095808291971e-06	2.24122368206047e-05	0.0787401018670524
AT1G01900.1	442.108630811136	-1.60541865042422	0.61333082219671	-2.61754112515369	0.00885658154069784	0.031467377802752	0.870061189181782
AT1G01920.1	603.006657818191	-1.76244511646037	0.400880543740626	-4.39643465860166	1.10043466736665e-05	7.27303869846524e-05	1e-08
AT1G01970.1	1149.16718345367	0.932789545003553	0.381979289033771	2.44198984547846	0.0146065574680887	0.0485669902917996	1e-08
AT1G01980.1	315.757434136374	-5.96538083866333	0.626206209474834	-9.52622434655539	1.63107749178996e-21	5.86998481593727e-20	0.436863811172967
AT1G02020.1	654.783965929478	1.76570479480481	0.508069659211721	3.47532028884451	0.000510243741801841	0.00247241282185461	0.430483485909827
AT1G02050.1	2858.00603177999	-5.07094994878149	0.410620926304405	-12.3494679007719	4.90346646071695e-35	5.02803614175942e-33	0.10604444180409
AT1G02065.1	428.876531325005	-6.79729756090402	0.660255046370068	-10.2949573778709	7.4252452353499e-25	3.50418806868264e-23	0.643564557355994
AT1G02070.1	91.4999342464856	-1.93824625301949	0.587063634795285	-3.30159481551839	0.000961368360513774	0.0043698704274918	0.101586444120333
AT1G02120.1	3300.70158934808	1.2820043452558	0.369737664276685	3.46733500295074	0.000525646337653948	0.00254130733290107	2.50011038261793e-05
AT1G02170.1	814.315950734023	1.20595587955684	0.44058242677142	2.73718561222259	0.00619673186890412	0.0230321226753205	0.17835136973938
AT1G02180.1	288.668515933518	-2.2626510229372	0.44987686391828	-5.02948963240798	4.91787090408937e-07	4.06412851513945e-06	1e-08
AT1G02190.1	2775.82841218953	-8.13113001099664	0.554569196416882	-14.6620657323424	1.12788586056525e-48	2.36525297270867e-46	0.570730015066522
AT1G02205.3	14526.3043069223	-3.57306310671035	0.462245294875404	-7.72979875906243	1.077167277907e-14	2.17075668700175e-13	0.341345266184934
AT1G02280.1	1808.39860281148	-1.16837283367727	0.379262992373871	-3.08064023427182	0.00206556060701441	0.0086867537530517	0.011579401262909
AT1G02300.1	819.32529268312	1.04235639655039	0.397548521386366	2.62196018970312	0.00874256426516167	0.0311098315794366	1e-08
AT1G02310.1	31.6556437737335	-5.16896882130226	1.06692437432798	-4.84473777680635	1.26779006281414e-06	9.77874243416734e-06	1e-08
AT1G02340.1	2771.45429629028	1.95494968034608	0.419072587009608	4.66494287850247	3.08702780160838e-06	2.23173386248469e-05	0.158468860694049
AT1G02360.1	34.6032722641265	4.52400721091077	0.946435805308354	4.78004655523025	1.75254607002037e-06	1.32431102648669e-05	0.541349363731574
AT1G02450.1	171.325962728662	-2.20064341735199	0.60279922782191	-3.65070709414071	0.000261519346080579	0.00134675703130233	0.569594832324058
AT1G02470.2	497.946055420923	-1.06665098273326	0.410336954711664	-2.59945142762678	0.00933728916269732	0.0329445075315358	0.0124808069156537
AT1G02475.1	2535.01042686024	1.91371490837769	0.372468273760029	5.13792728991098	2.7778531501152e-07	2.38684849691506e-06	0.00115846002446926
AT1G02510.1	62.0274535636846	-7.76498084243544	1.35135062368995	-5.74608891749549	9.13312918373067e-09	9.74118952441423e-08	0.000910298177991521
AT1G02520.1	403.923625780507	-5.31815494537173	0.481255921053993	-11.0505756141649	2.17813779340998e-28	1.37134178772004e-26	0.0168045574760304
AT1G02530.1	55.099681090209	-3.88102680445815	0.745727360385342	-5.20435082662475	1.94675929047548e-07	1.70799192735614e-06	0.0761337861206478
AT1G02640.1	964.421761059321	-3.23072607433406	0.506228089309296	-6.38195734800513	1.74838666117519e-10	2.27339171873367e-09	0.451217665027321
