logFC	logCPM	pvalue	padj	dispersion
AT1G01030.1	-2.19194341028337	1.93888980456122	0.00192467674640887	0.00861352057742386	0.203109693282314
AT1G01100.1	-2.40301158406977	7.62359974273916	1.38527126178066e-05	0.000107571730095347	0.13030133272605
AT1G01110.2	-2.33615898932254	3.09951978731078	0.00040924035362226	0.00220291203039802	0.18129752276176
AT1G01130.1	-2.43415100981541	1.3353189548915	0.00203121173910518	0.00901537345354625	0.241475338968847
AT1G01140.3	1.65190380068194	7.09489748700221	0.00149567569551021	0.00692262988854162	0.121453496186706
AT1G01150.1	-5.10329521573036	0.257985037015785	1.54619251615884e-07	1.75858987967018e-06	0.224503707632354
AT1G01180.1	3.28262350965951	3.22863671495273	7.55482115352529e-08	9.12337034714603e-07	0.142465087856386
AT1G01240.1	1.37516132771133	5.03070674203062	0.00399442103226322	0.0162198053575166	0.103491153837975
AT1G01280.1	-9.24104193044336	4.5960503504586	9.87092431405025e-34	3.89303693862021e-31	0.111380170031308
AT1G01300.1	-2.02568173795045	6.66556744134089	0.000240098902857935	0.00137912809801598	0.133064370322078
AT1G01310.1	-6.83509746271149	3.31437250243597	3.01473696542979e-20	2.06402602704071e-18	0.134835682491868
AT1G01320.1	1.7777602975141	8.9751876689528	0.00374672697036424	0.0153632813917322	0.166842319988656
AT1G01340.2	2.72256929052537	2.96122374300177	5.29889303733278e-06	4.49129433437349e-05	0.143251841914519
AT1G01360.1	1.52317072692615	5.34222244420508	0.00153862597673062	0.00709912746752525	0.104237881300931
AT1G01370.1	-5.0955137984369	2.60199559289417	7.64635452902971e-10	1.29844281092717e-08	0.210710169479264
AT1G01390.1	4.04945256959461	3.76834487068583	1.56933427238712e-12	4.01686456082122e-11	0.116913634719026
AT1G01400.1	-4.43686879812159	-0.352295036421945	1.8584675504494e-05	0.000140347379578436	0.261841659221745
AT1G01420.1	4.85732025591265	3.73403096769455	2.43856891355884e-14	7.92167131293208e-13	0.13277631654932
AT1G01440.1	1.4911406880476	4.46338846513595	0.00333116283297692	0.0138705162303375	0.115680454188153
AT1G01460.1	-7.04887144576842	1.74452630990984	1.28266430929761e-12	3.3042471010995e-11	0.206240762438374
AT1G01470.1	3.36871943795066	5.78719862796651	3.03722907616277e-10	5.48716905219891e-09	0.111992147437144
AT1G01490.1	1.38001998014803	6.05103375878921	0.00587038700198108	0.0226048648005328	0.114171478964279
AT1G01520.1	2.63674443408174	3.46501097574542	1.08710168285628e-05	8.68750608542856e-05	0.146653567788948
AT1G01550.1	1.3762734727176	7.6917328430712	0.00744546618922527	0.0276802899934527	0.12057496506776
AT1G01560.2	1.57650139445319	2.14244737877248	0.0146732088839487	0.0493074757192286	0.178470028237984
AT1G01570.1	-1.68387184797401	2.24870610881198	0.00632124662775764	0.0240826596014244	0.161938288014422
